 0: Clicks =   0.0 (Half-Clicks=0)
122: Clicks =  61.0 (Half-Clicks=122)
123: Clicks =  61.5 (Half-Clicks=123)
124: Clicks =  62.0 (Half-Clicks=124)
125: Clicks =  62.5 (Half-Clicks=125)
126: Clicks =  63.0 (Half-Clicks=126)
127: Clicks =  63.5 (Half-Clicks=127)
128: Clicks =  64.0 (Half-Clicks=128)
129: Clicks =  64.5 (Half-Clicks=129)
130: Clicks =  65.0 (Half-Clicks=130)
131: Clicks =  65.5 (Half-Clicks=131)
132: Clicks =  66.0 (Half-Clicks=132)
133: Clicks =  66.5 (Half-Clicks=133)
134: Clicks =  67.0 (Half-Clicks=134)
135: Clicks =  67.5 (Half-Clicks=135)
136: Clicks =  68.0 (Half-Clicks=136)
137: Clicks =  68.5 (Half-Clicks=137)
138: Clicks =  69.0 (Half-Clicks=138)
139: Clicks =  69.5 (Half-Clicks=139)
140: Clicks =  70.0 (Half-Clicks=140)
141: Clicks =  70.5 (Half-Clicks=141)
142: Clicks =  71.0 (Half-Clicks=142)
143: Clicks =  71.5 (Half-Clicks=143)
144: Clicks =  72.0 (Half-Clicks=144)
145: Clicks =  72.5 (Half-Clicks=145)
146: Clicks =  73.0 (Half-Clicks=146)
147: Clicks =  73.5 (Half-Clicks=147)
148: Clicks =  74.0 (Half-Clicks=148)
149: Clicks =  74.5 (Half-Clicks=149)
150: Clicks =  75.0 (Half-Clicks=150)
151: Clicks =  75.5 (Half-Clicks=151)
152: Clicks =  76.0 (Half-Clicks=152)
153: Clicks =  76.5 (Half-Clicks=153)
154: Clicks =  77.0 (Half-Clicks=154)
155: Clicks =  77.5 (Half-Clicks=155)
156: Clicks =  78.0 (Half-Clicks=156)
157: Clicks =  78.5 (Half-Clicks=157)
158: Clicks =  79.0 (Half-Clicks=158)
159: Clicks =  79.5 (Half-Clicks=159)
160: Clicks =  80.0 (Half-Clicks=160)
161: Clicks =  80.5 (Half-Clicks=161)
162: Clicks =  81.0 (Half-Clicks=162)
163: Clicks =  81.5 (Half-Clicks=163)
164: Clicks =  82.0 (Half-Clicks=164)
165: Clicks =  82.5 (Half-Clicks=165)
166: Clicks =  83.0 (Half-Clicks=166)
167: Clicks =  83.5 (Half-Clicks=167)
168: Clicks =  84.0 (Half-Clicks=168)
169: Clicks =  84.5 (Half-Clicks=169)
170: Clicks =  85.0 (Half-Clicks=170)
171: Clicks =  85.5 (Half-Clicks=171)
172: Clicks =  86.0 (Half-Clicks=172)
173: Clicks =  86.5 (Half-Clicks=173)
174: Clicks =  87.0 (Half-Clicks=174)
175: Clicks =  87.5 (Half-Clicks=175)
176: Clicks =  88.0 (Half-Clicks=176)
177: Clicks =  88.5 (Half-Clicks=177)
178: Clicks =  89.0 (Half-Clicks=178)
179: Clicks =  89.5 (Half-Clicks=179)
180: Clicks =  90.0 (Half-Clicks=180)
181: Clicks =  90.5 (Half-Clicks=181)
182: Clicks =  91.0 (Half-Clicks=182)
183: Clicks =  91.5 (Half-Clicks=183)
184: Clicks =  92.0 (Half-Clicks=184)
185: Clicks =  92.5 (Half-Clicks=185)
186: Clicks =  93.0 (Half-Clicks=186)
187: Clicks =  93.5 (Half-Clicks=187)
188: Clicks =  94.0 (Half-Clicks=188)
189: Clicks =  94.5 (Half-Clicks=189)
190: Clicks =  95.0 (Half-Clicks=190)
191: Clicks =  95.5 (Half-Clicks=191)
192: Clicks =  96.0 (Half-Clicks=192)
193: Clicks =  96.5 (Half-Clicks=193)
194: Clicks =  97.0 (Half-Clicks=194)
195: Clicks =  97.5 (Half-Clicks=195)
196: Clicks =  98.0 (Half-Clicks=196)
197: Clicks =  98.5 (Half-Clicks=197)
198: Clicks =  99.0 (Half-Clicks=198)
199: Clicks =  99.5 (Half-Clicks=199)
200: Clicks = 100.0 (Half-Clicks=200)
201: Clicks = 100.5 (Half-Clicks=201)
202: Clicks = 101.0 (Half-Clicks=202)
203: Clicks = 101.5 (Half-Clicks=203)
204: Clicks = 102.0 (Half-Clicks=204)
205: Clicks = 102.5 (Half-Clicks=205)
206: Clicks = 103.0 (Half-Clicks=206)
207: Clicks = 103.5 (Half-Clicks=207)
208: Clicks = 104.0 (Half-Clicks=208)
209: Clicks = 104.5 (Half-Clicks=209)
210: Clicks = 105.0 (Half-Clicks=210)
211: Clicks = 105.5 (Half-Clicks=211)
212: Clicks = 106.0 (Half-Clicks=212)
213: Clicks = 106.5 (Half-Clicks=213)
214: Clicks = 107.0 (Half-Clicks=214)
215: Clicks = 107.5 (Half-Clicks=215)
216: Clicks = 108.0 (Half-Clicks=216)
217: Clicks = 108.5 (Half-Clicks=217)
218: Clicks = 109.0 (Half-Clicks=218)
219: Clicks = 109.5 (Half-Clicks=219)
220: Clicks = 110.0 (Half-Clicks=220)
221: Clicks = 110.5 (Half-Clicks=221)
222: Clicks = 111.0 (Half-Clicks=222)
223: Clicks = 111.5 (Half-Clicks=223)
224: Clicks = 112.0 (Half-Clicks=224)
225: Clicks = 112.5 (Half-Clicks=225)
226: Clicks = 113.0 (Half-Clicks=226)
227: Clicks = 113.5 (Half-Clicks=227)
228: Clicks = 114.0 (Half-Clicks=228)
229: Clicks = 114.5 (Half-Clicks=229)
230: Clicks = 115.0 (Half-Clicks=230)
231: Clicks = 115.5 (Half-Clicks=231)
232: Clicks = 116.0 (Half-Clicks=232)
233: Clicks = 116.5 (Half-Clicks=233)
234: Clicks = 117.0 (Half-Clicks=234)
235: Clicks = 117.5 (Half-Clicks=235)
236: Clicks = 118.0 (Half-Clicks=236)
237: Clicks = 118.5 (Half-Clicks=237)
238: Clicks = 119.0 (Half-Clicks=238)
239: Clicks = 119.5 (Half-Clicks=239)
240: Clicks = 120.0 (Half-Clicks=240)
241: Clicks = 120.5 (Half-Clicks=241)
242: Clicks = 121.0 (Half-Clicks=242)
243: Clicks = 121.5 (Half-Clicks=243)
244: Clicks = 122.0 (Half-Clicks=244)
245: Clicks = 122.5 (Half-Clicks=245)
246: Clicks = 123.0 (Half-Clicks=246)
247: Clicks = 123.5 (Half-Clicks=247)
248: Clicks = 124.0 (Half-Clicks=248)
249: Clicks = 124.5 (Half-Clicks=249)
250: Clicks = 125.0 (Half-Clicks=250)
251: Clicks = 125.5 (Half-Clicks=251)
252: Clicks = 126.0 (Half-Clicks=252)
253: Clicks = 126.5 (Half-Clicks=253)
254: Clicks = 127.0 (Half-Clicks=254)
255: Clicks = 127.5 (Half-Clicks=255)
256: Clicks = 128.0 (Half-Clicks=256)
257: Clicks = 128.5 (Half-Clicks=257)
258: Clicks = 129.0 (Half-Clicks=258)
259: Clicks = 129.5 (Half-Clicks=259)
260: Clicks = 130.0 (Half-Clicks=260)
261: Clicks = 130.5 (Half-Clicks=261)
262: Clicks = 131.0 (Half-Clicks=262)
263: Clicks = 131.5 (Half-Clicks=263)
264: Clicks = 132.0 (Half-Clicks=264)
265: Clicks = 132.5 (Half-Clicks=265)
266: Clicks = 133.0 (Half-Clicks=266)
267: Clicks = 133.5 (Half-Clicks=267)
268: Clicks = 134.0 (Half-Clicks=268)
269: Clicks = 134.5 (Half-Clicks=269)
270: Clicks = 135.0 (Half-Clicks=270)
271: Clicks = 135.5 (Half-Clicks=271)
272: Clicks = 136.0 (Half-Clicks=272)
273: Clicks = 136.5 (Half-Clicks=273)
274: Clicks = 137.0 (Half-Clicks=274)
275: Clicks = 137.5 (Half-Clicks=275)
276: Clicks = 138.0 (Half-Clicks=276)
277: Clicks = 138.5 (Half-Clicks=277)
278: Clicks = 139.0 (Half-Clicks=278)
279: Clicks = 139.5 (Half-Clicks=279)
280: Clicks = 140.0 (Half-Clicks=280)
281: Clicks = 140.5 (Half-Clicks=281)
282: Clicks = 141.0 (Half-Clicks=282)
283: Clicks = 141.5 (Half-Clicks=283)
284: Clicks = 142.0 (Half-Clicks=284)
285: Clicks = 142.5 (Half-Clicks=285)
286: Clicks = 143.0 (Half-Clicks=286)
287: Clicks = 143.5 (Half-Clicks=287)
288: Clicks = 144.0 (Half-Clicks=288)
289: Clicks = 144.5 (Half-Clicks=289)
290: Clicks = 145.0 (Half-Clicks=290)
291: Clicks = 145.5 (Half-Clicks=291)
292: Clicks = 146.0 (Half-Clicks=292)
293: Clicks = 146.5 (Half-Clicks=293)
294: Clicks = 147.0 (Half-Clicks=294)
295: Clicks = 147.5 (Half-Clicks=295)
296: Clicks = 148.0 (Half-Clicks=296)
297: Clicks = 148.5 (Half-Clicks=297)
298: Clicks = 149.0 (Half-Clicks=298)
299: Clicks = 149.5 (Half-Clicks=299)
300: Clicks = 150.0 (Half-Clicks=300)
301: Clicks = 150.5 (Half-Clicks=301)
302: Clicks = 151.0 (Half-Clicks=302)
303: Clicks = 151.5 (Half-Clicks=303)
304: Clicks = 152.0 (Half-Clicks=304)
305: Clicks = 152.5 (Half-Clicks=305)
306: Clicks = 153.0 (Half-Clicks=306)
307: Clicks = 153.5 (Half-Clicks=307)
308: Clicks = 154.0 (Half-Clicks=308)
309: Clicks = 154.5 (Half-Clicks=309)
310: Clicks = 155.0 (Half-Clicks=310)
311: Clicks = 155.5 (Half-Clicks=311)
312: Clicks = 156.0 (Half-Clicks=312)
313: Clicks = 156.5 (Half-Clicks=313)
314: Clicks = 157.0 (Half-Clicks=314)
315: Clicks = 157.5 (Half-Clicks=315)
316: Clicks = 158.0 (Half-Clicks=316)
317: Clicks = 158.5 (Half-Clicks=317)
318: Clicks = 159.0 (Half-Clicks=318)
319: Clicks = 159.5 (Half-Clicks=319)
320: Clicks = 160.0 (Half-Clicks=320)
321: Clicks = 160.5 (Half-Clicks=321)
322: Clicks = 161.0 (Half-Clicks=322)
323: Clicks = 161.5 (Half-Clicks=323)
324: Clicks = 162.0 (Half-Clicks=324)
325: Clicks = 162.5 (Half-Clicks=325)
326: Clicks = 163.0 (Half-Clicks=326)
327: Clicks = 163.5 (Half-Clicks=327)
328: Clicks = 164.0 (Half-Clicks=328)
329: Clicks = 164.5 (Half-Clicks=329)
330: Clicks = 165.0 (Half-Clicks=330)
331: Clicks = 165.5 (Half-Clicks=331)
332: Clicks = 166.0 (Half-Clicks=332)
333: Clicks = 166.5 (Half-Clicks=333)
334: Clicks = 167.0 (Half-Clicks=334)
335: Clicks = 167.5 (Half-Clicks=335)
336: Clicks = 168.0 (Half-Clicks=336)
337: Clicks = 168.5 (Half-Clicks=337)
338: Clicks = 169.0 (Half-Clicks=338)
339: Clicks = 169.5 (Half-Clicks=339)
340: Clicks = 170.0 (Half-Clicks=340)
341: Clicks = 170.5 (Half-Clicks=341)
342: Clicks = 171.0 (Half-Clicks=342)
343: Clicks = 171.5 (Half-Clicks=343)
344: Clicks = 172.0 (Half-Clicks=344)
345: Clicks = 172.5 (Half-Clicks=345)
346: Clicks = 173.0 (Half-Clicks=346)
347: Clicks = 173.5 (Half-Clicks=347)
348: Clicks = 174.0 (Half-Clicks=348)
349: Clicks = 174.5 (Half-Clicks=349)
350: Clicks = 175.0 (Half-Clicks=350)
351: Clicks = 175.5 (Half-Clicks=351)
352: Clicks = 176.0 (Half-Clicks=352)
353: Clicks = 176.5 (Half-Clicks=353)
354: Clicks = 177.0 (Half-Clicks=354)
355: Clicks = 177.5 (Half-Clicks=355)
356: Clicks = 178.0 (Half-Clicks=356)
357: Clicks = 178.5 (Half-Clicks=357)
358: Clicks = 179.0 (Half-Clicks=358)
359: Clicks = 179.5 (Half-Clicks=359)
360: Clicks = 180.0 (Half-Clicks=360)
361: Clicks = 180.5 (Half-Clicks=361)
362: Clicks = 181.0 (Half-Clicks=362)
363: Clicks = 181.5 (Half-Clicks=363)
364: Clicks = 182.0 (Half-Clicks=364)
365: Clicks = 182.5 (Half-Clicks=365)
366: Clicks = 183.0 (Half-Clicks=366)
367: Clicks = 183.5 (Half-Clicks=367)
368: Clicks = 184.0 (Half-Clicks=368)
369: Clicks = 184.5 (Half-Clicks=369)
370: Clicks = 185.0 (Half-Clicks=370)
371: Clicks = 185.5 (Half-Clicks=371)
372: Clicks = 186.0 (Half-Clicks=372)
373: Clicks = 186.5 (Half-Clicks=373)
374: Clicks = 187.0 (Half-Clicks=374)
375: Clicks = 187.5 (Half-Clicks=375)
376: Clicks = 188.0 (Half-Clicks=376)
377: Clicks = 188.5 (Half-Clicks=377)
378: Clicks = 189.0 (Half-Clicks=378)
379: Clicks = 189.5 (Half-Clicks=379)
380: Clicks = 190.0 (Half-Clicks=380)
381: Clicks = 190.5 (Half-Clicks=381)
382: Clicks = 191.0 (Half-Clicks=382)
383: Clicks = 191.5 (Half-Clicks=383)
384: Clicks = 192.0 (Half-Clicks=384)
385: Clicks = 192.5 (Half-Clicks=385)
386: Clicks = 193.0 (Half-Clicks=386)
387: Clicks = 193.5 (Half-Clicks=387)
388: Clicks = 194.0 (Half-Clicks=388)
389: Clicks = 194.5 (Half-Clicks=389)
390: Clicks = 195.0 (Half-Clicks=390)
391: Clicks = 195.5 (Half-Clicks=391)
392: Clicks = 196.0 (Half-Clicks=392)
393: Clicks = 196.5 (Half-Clicks=393)
394: Clicks = 197.0 (Half-Clicks=394)
395: Clicks = 197.5 (Half-Clicks=395)
396: Clicks = 198.0 (Half-Clicks=396)
397: Clicks = 198.5 (Half-Clicks=397)
398: Clicks = 199.0 (Half-Clicks=398)
399: Clicks = 199.5 (Half-Clicks=399)
400: Clicks = 200.0 (Half-Clicks=400)
401: Clicks = 200.5 (Half-Clicks=401)
402: Clicks = 201.0 (Half-Clicks=402)
403: Clicks = 201.5 (Half-Clicks=403)
404: Clicks = 202.0 (Half-Clicks=404)
405: Clicks = 202.5 (Half-Clicks=405)
406: Clicks = 203.0 (Half-Clicks=406)
407: Clicks = 203.5 (Half-Clicks=407)
408: Clicks = 204.0 (Half-Clicks=408)
409: Clicks = 204.5 (Half-Clicks=409)
410: Clicks = 205.0 (Half-Clicks=410)
411: Clicks = 205.5 (Half-Clicks=411)
412: Clicks = 206.0 (Half-Clicks=412)
413: Clicks = 206.5 (Half-Clicks=413)
414: Clicks = 207.0 (Half-Clicks=414)
415: Clicks = 207.5 (Half-Clicks=415)
416: Clicks = 208.0 (Half-Clicks=416)
417: Clicks = 208.5 (Half-Clicks=417)
418: Clicks = 209.0 (Half-Clicks=418)
419: Clicks = 209.5 (Half-Clicks=419)
420: Clicks = 210.0 (Half-Clicks=420)
421: Clicks = 210.5 (Half-Clicks=421)
422: Clicks = 211.0 (Half-Clicks=422)
423: Clicks = 211.5 (Half-Clicks=423)
424: Clicks = 212.0 (Half-Clicks=424)
425: Clicks = 212.5 (Half-Clicks=425)
426: Clicks = 213.0 (Half-Clicks=426)
427: Clicks = 213.5 (Half-Clicks=427)
428: Clicks = 214.0 (Half-Clicks=428)
429: Clicks = 214.5 (Half-Clicks=429)
430: Clicks = 215.0 (Half-Clicks=430)
431: Clicks = 215.5 (Half-Clicks=431)
432: Clicks = 216.0 (Half-Clicks=432)
433: Clicks = 216.5 (Half-Clicks=433)
434: Clicks = 217.0 (Half-Clicks=434)
435: Clicks = 217.5 (Half-Clicks=435)
436: Clicks = 218.0 (Half-Clicks=436)
437: Clicks = 218.5 (Half-Clicks=437)
438: Clicks = 219.0 (Half-Clicks=438)
439: Clicks = 219.5 (Half-Clicks=439)
440: Clicks = 220.0 (Half-Clicks=440)
441: Clicks = 220.5 (Half-Clicks=441)
442: Clicks = 221.0 (Half-Clicks=442)
443: Clicks = 221.5 (Half-Clicks=443)
444: Clicks = 222.0 (Half-Clicks=444)
445: Clicks = 222.5 (Half-Clicks=445)
446: Clicks = 223.0 (Half-Clicks=446)
447: Clicks = 223.5 (Half-Clicks=447)
448: Clicks = 224.0 (Half-Clicks=448)
449: Clicks = 224.5 (Half-Clicks=449)
450: Clicks = 225.0 (Half-Clicks=450)
451: Clicks = 225.5 (Half-Clicks=451)
452: Clicks = 226.0 (Half-Clicks=452)
453: Clicks = 226.5 (Half-Clicks=453)
454: Clicks = 227.0 (Half-Clicks=454)
455: Clicks = 227.5 (Half-Clicks=455)
456: Clicks = 228.0 (Half-Clicks=456)
457: Clicks = 228.5 (Half-Clicks=457)
458: Clicks = 229.0 (Half-Clicks=458)
459: Clicks = 229.5 (Half-Clicks=459)
460: Clicks = 230.0 (Half-Clicks=460)
461: Clicks = 230.5 (Half-Clicks=461)
462: Clicks = 231.0 (Half-Clicks=462)
463: Clicks = 231.5 (Half-Clicks=463)
464: Clicks = 232.0 (Half-Clicks=464)
465: Clicks = 232.5 (Half-Clicks=465)
466: Clicks = 233.0 (Half-Clicks=466)
467: Clicks = 233.5 (Half-Clicks=467)
468: Clicks = 234.0 (Half-Clicks=468)
469: Clicks = 234.5 (Half-Clicks=469)
470: Clicks = 235.0 (Half-Clicks=470)
471: Clicks = 235.5 (Half-Clicks=471)
472: Clicks = 236.0 (Half-Clicks=472)
473: Clicks = 236.5 (Half-Clicks=473)
474: Clicks = 237.0 (Half-Clicks=474)
475: Clicks = 237.5 (Half-Clicks=475)
476: Clicks = 238.0 (Half-Clicks=476)
477: Clicks = 238.5 (Half-Clicks=477)
478: Clicks = 239.0 (Half-Clicks=478)
479: Clicks = 239.5 (Half-Clicks=479)
480: Clicks = 240.0 (Half-Clicks=480)
481: Clicks = 240.5 (Half-Clicks=481)
482: Clicks = 241.0 (Half-Clicks=482)
483: Clicks = 241.5 (Half-Clicks=483)
484: Clicks = 242.0 (Half-Clicks=484)
485: Clicks = 242.5 (Half-Clicks=485)
486: Clicks = 243.0 (Half-Clicks=486)
487: Clicks = 243.5 (Half-Clicks=487)
488: Clicks = 244.0 (Half-Clicks=488)
489: Clicks = 244.5 (Half-Clicks=489)
490: Clicks = 245.0 (Half-Clicks=490)
491: Clicks = 245.5 (Half-Clicks=491)
492: Clicks = 246.0 (Half-Clicks=492)
493: Clicks = 246.5 (Half-Clicks=493)
494: Clicks = 247.0 (Half-Clicks=494)
495: Clicks = 247.5 (Half-Clicks=495)
496: Clicks = 248.0 (Half-Clicks=496)
497: Clicks = 248.5 (Half-Clicks=497)
498: Clicks = 249.0 (Half-Clicks=498)
499: Clicks = 249.5 (Half-Clicks=499)
500: Clicks = 250.0 (Half-Clicks=500)
501: Clicks = 250.5 (Half-Clicks=501)
502: Clicks = 251.0 (Half-Clicks=502)
503: Clicks = 251.5 (Half-Clicks=503)
504: Clicks = 252.0 (Half-Clicks=504)
505: Clicks = 252.5 (Half-Clicks=505)
506: Clicks = 253.0 (Half-Clicks=506)
507: Clicks = 253.5 (Half-Clicks=507)
508: Clicks = 254.0 (Half-Clicks=508)
509: Clicks = 254.5 (Half-Clicks=509)
510: Clicks = 255.0 (Half-Clicks=510)
511: Clicks = 255.5 (Half-Clicks=511)
512: Clicks = 256.0 (Half-Clicks=512)
