109: BIGMEDI_ITEM                    	Slot=368
 25: PUZZLE_ITEM7_COMBO2             	Slot=200
  7: PUZZLE_ITEM8                    	Slot=182
 26: PUZZLE_ITEM8_COMBO1             	Slot=201
 27: PUZZLE_ITEM8_COMBO2             	Slot=202
  8: PUZZLE_ITEM9                    	Slot=183
 76: QUEST_ITEM1                     	Slot=252
 77: QUEST_ITEM2                     	Slot=253
 78: QUEST_ITEM3                     	Slot=254
 79: QUEST_ITEM4                     	Slot=255
 80: QUEST_ITEM5                     	Slot=256
 81: QUEST_ITEM6                     	Slot=257
 97: SHOTGUN_AMMO1_ITEM              	Slot=354
 98: SHOTGUN_AMMO2_ITEM              	Slot=355
 96: SHOTGUN_ITEM                    	Slot=353
108: SIXSHOOTER_AMMO_ITEM            	Slot=367
107: SIXSHOOTER_ITEM                 	Slot=366
110: SMALLMEDI_ITEM                  	Slot=369
 95: UZI_AMMO_ITEM                   	Slot=352
 94: UZI_ITEM                        	Slot=351
 83: WATERSKIN1_1                    	Slot=297
 84: WATERSKIN1_2                    	Slot=298
 85: WATERSKIN1_3                    	Slot=299
 82: WATERSKIN1_EMPTY                	Slot=296
 87: WATERSKIN2_1                    	Slot=301
 88: WATERSKIN2_2                    	Slot=302
 89: WATERSKIN2_3                    	Slot=303
 90: WATERSKIN2_4                    	Slot=304
 91: WATERSKIN2_5                    	Slot=305
 86: WATERSKIN2_EMPTY                	Slot=300
